Affiliation No.,Name,Head/Principle,Status of the School:,Affiliated Upto,Address,Phone,Email
2730568,S. D. SARSWATI BALMANDIR,VEENA SHARMA,Secondary School, 31/03/2021 ,"C-5, RAJIV NAGAR PHASE-II, Near Rohini, South West DELHI,110041","011,27582050",sdsarswati@gmail.com
2758047,S.B.V,RANDHIR SINGH,Senior Secondary, 31/03/2020 ,"O Block Mangol Puri Delhi-110 083,110083","011,27911573",RANDHIRSINGHMAHOUR@GMAIL.COM
2730723,S.G.N. Public School,Raj kumar,Secondary School, 31/03/2022 ,"H - 243, Kunwar Singh Nagar, Nangloi, Delhi - 110041,110041","011,28362813",rkumarprincipal@gmail.com
2730650,S.K.R. PUBLIC SCHOOL,UMA DWIVEDI,Senior Secondary, 31/03/2020 ,"BOHRIANWALA THALLA, INDER PURI, SOUTH WEST DELHI,110012","011,25835243",umadwivedi1@gmail.com
2730210,S.S.MOTA SINGH MODEL SCHOOL,ASHU MEHTA VP,Senior Secondary, 31/03/2020 ,"GURU HARKRISHAN NAGAR, DISTT WEST DELHI, NEW DELHI,110087","011,25285610",ashu.ssms@gmail.com
2730740,Saarthi International School,MRS. SANGEETA,Senior Secondary, 31/03/2022 ,"BEGUMPUR EXTN. (PANSALI ROAD OPP. SEC-32 ROHINI) NEAR HANUMAN CHOWK, VILLAGE BEGUMPUR,110086","011,64631046,9811801046",anilsdgpublicschool@gmail.com
2730615,Sachdeva Global School,SUMANA DUTTA SARKAR,Senior Secondary, 31/08/2020 ,"Sector-18-A, Dwarka, Phase-II, New Delhi-110075,110075","011,28032828",SUMANA@SACHDEVAGLOBAL.INWebsite:http://www.royalpresidencyschool.org
2730241,SACHDEVA PUBLIC SCHOOL,RAVIJA PRAKASH,Senior Secondary, 31/03/2020 ,"SECTOR 13 ROHINI DELHI,110085","011,27566176",info@spsrohini.com
2730124,SACHDEVA PUBLIC SCHOOL,MONA RASTOGI,Senior Secondary, 31/03/2020 ,"FP BLOCK MAURYA ENCLAVE PITAMPURA DELHI,110034","011,27322252",info@sachdevapublicschool.org
2730150,SADHU VASWANI INT. SCHOOL FOR GIRLS,Neeta Rastogi,Senior Secondary, 31/03/2023 ,"2ND STREET SHANTI NIKETAN NEW DELHI,110021","011,24110242",rastogineeta@rediffmail.com
2730101,SAHODAY SR. SEC. SCHOOL,SR SUDHA,Senior Secondary, 31/03/2023 ,"C-1 SAFDARJANG DEVE AREA, DISTT SOUTH DELHI, NEW DELHI,110016","011,26512344",sudhadevasia@gmail.com
2730307,SAI MEMORIAL,DR MRS MEENAKSHI KESWANI,Senior Secondary, 31/03/2022 ,"SAI BHAWAN F.C.CENTRE GEETA COLONY, DISTT EAST DELHI, DELHI,110031","011,22016866",meenakshikes@yahoo.co.in
2778049,salwan boys sr sec school,SAROJ ACHRA,Senior Secondary, 31/03/2021 ,"rajinder nagar new delhi,110060","011,45093219",principal.sbs@salwanschools.com
2788030,SALWAN GIRLS SR SEC SCHOOL,ALKA SIBBAL,Senior Secondary, 31/03/2020 ,"RAJINDER NAGAR NEW DELHI,110060","011,25782530",principal.sgs@salwanschools.com
2730401,SALWAN PUBLIC SCHOOL,KIRAN MEHTA,Senior Secondary, 31/03/2020 ,"KONDLI GHAROLI COMPLEX MAYUR VIHAR PHASE III, DISTT EAST DELHI, DELHI,110096","011,65092224",salwan.mv@gmail.com
2730048,SALWAN PUBLIC SCHOOL,INDU KHETARPAL,Senior Secondary, 31/03/2020 ,"RAJINDER NAGAR NEW DELHI,110060","011,49254500",principal.sps@salwanschools.comWebsite:http://www.salwanpublics
2730527,SAM INTERNATIONAL SCHOOL,RITU KHATI,Senior Secondary, 31/03/2017 ,"SECTOR 12, PHASE II DWARKA, DISTT SOUTH WEST DELHI, NEW DELHI,110075","011,42815282",sam_dwarka@yahoo.co.inWebsite:http://www.amritapuri.org
2762032,sampurnanda govt.sarvodaya girls sr,SAROJ MATHELA,Senior Secondary, 31/03/2018 ,"sec school c-block yamuna vihar delhi,110053","011,22913585",1104018pilot12@gmail.com
2730283,SANATAN DHARAM PUBLIC SCHOOL,ANITA SHARMA,Senior Secondary, 31/03/2020 ,"BU BLOCK PITAMPURA, DISTT NORTH WEST DELHI, DELHI,110034","011,27346738",anita.sdps@gmail.com
2730621,SANSKAR CONVENT SCHOOL,Yagya Rathor,Senior Secondary, 31/03/2020 ,"83, SHYAM VIHAR, E-BLOCK EXTN., NAJAFGARH,110043","011,64592800",sanskarconventschool@gmail.com
2730821,SANSKRITI MODERN SCHOOL,MRS. JYOTI PHOUGHAT,Secondary School, 31/03/2022 ,"109,Gali No.8/3, G-Block, Ratiya Marg, Sangam Vihar,110062",",01164603510",sanskritimodernschool@gmail.comWebsite:http://www.sanskritimodernschool.in
2730295,sanskriti school,ABHA SAHGAL,Senior Secondary, 31/03/2023 ,"st martin marg chanakyapuri, DISTT CENTRAL DELHI, new delhi,110021","011,26883335",principal@sanskritischool.com
2762068,sant eknath govt.sarvodaya girls sr,RAJESHWARI,Senior Secondary, 31/03/2023 ,"sec school  j & k block dilshad garden delhi,110095","011,22118830",steknath1106023@gmail.com
2730631,SANT GYANESHWAR MODEL SCHOOL,SEEMA DEVI,Senior Secondary, 31/03/2021 ,"LAKHMI ENCLAVE, EXTENED LAL DORA, ALIPUR, DELHI - 110036,110036",",011 - 65146976",sgms2010@gmail.com
2730356,sant hari dass public school,mr harender kumar,Senior Secondary, 31/03/2021 ,"opp air fce station bani camp najafgarh, DISTT SOUTH WEST DELHI, delhi,110043",",",
2730488,SANT KIRPAL MODEL SCHOOL,GULSHAN BHARDWAJ,Senior Secondary, 31/03/2020 ,"DHICHAON KALAN ROAD NAJAFGARH, DISTT SOUTH WEST DELHI, NEW DELHI,110043","011,64670903",gulshanskms@gmail.com
2730706,Sant nirankari  public school avtar enclave,MEENAKSHI CHUGH,Secondary School, 31/03/2021 ,"avtar enclave pachim vihar new delhi-110063,110063","011,42311555",meenakshi.chughsnps@gmail.com
2770001,SANT NIRANKARI BOYS SR SEC SCHOOL,S K BEDI,Senior Secondary, 31/03/2025 ,"SANT NIRANKARI COLONY DELHI,110009","011,27112754",cstb@sanchernet.in
2780001,SANT NIRANKARI GIRLS SR SEC SCHOOL,MRS PROMILA SHARMA,Senior Secondary, 31/03/2025 ,"SANT NIRANKARI COLONY DELHI,110009","011,27241143",
2730754,Sant Nirankari Public School,LEENA KAPOOR,Secondary School, 31/03/2020 ,"20B Block Tilak Nagar,110018","011,25994334",santnirankari.tilaknagar@yahoo.com
2730299,SANT NIRANKARI PUBLIC SCHOOL,Poonam Syal,Senior Secondary, 26/07/2017 ,"NIRANKARI COLONY DELHI,110009","011,65415533",poonamsyal@yahoo.com
2778020,SANT NIRANKARI SR SEC SCHOOL,SEEMA KOCHHAR,Senior Secondary, 31/03/2024 ,"PAHARGANJ NEW DELHI,110055","011,23678009",seemakochhar45@gmail.com
2730399,SANT SUJAN SINGH JI INT SCHOOL,DR R KOHLI,Senior Secondary, 31/03/2020 ,"KUSHAK NO 2 BEHIND SAROOP NAGAR, DISTT NORTH WEST DELHI, DELHI,110036","011,27731595",sssjis.school@gmail.com
2730344,SARASWATI BAL MANDIR,MAMTA CHAUHAN,Senior Secondary, 31/03/2021 ,"A-2 PASCHIM VIHAR, DISTT WEST DELHI, NEW DELHI,110063","011,25268801",mamtachauhan.sbm@gmail.com
2730053,SARASWATI BAL MANDIR,SUNITA GAUR,Secondary School, 31/03/2020 ,"JHANDEWALAN OPP NAAZ CINEMA NEW DELHI,110055","011,23523063",sbm_jw@yahoo.co.in
2730127,SARASWATI BAL MANDIR SCHOOL,REENA VERMA,Secondary School, 31/03/2020 ,"J-8 RAJOURI GARDEN EXTN NEW DELHI,110027","011,25458225",reenavarma64@gmail.com
2730312,SARASWATI BAL MANDIR SR SEC SCHOOL,MS MANJEET KAUR,Senior Secondary, 31/03/2020 ,"WARD NO 6 MEHRAULI NEW DELHI,110030","0231,26645770",
2730810,SARASWATI MODEL SCHOOL,MR. SANJAY JAIN,Secondary School, 31/03/2022 ,"GALI NO. - 5, EAST SAGARPUR, NEW DELHI - 110046,110046",",01128520134,9811697650",saraswati.sp46@gmail.com
2730537,SARASWATI PUBLIC SCHOOL,mrs sunita vimal,Secondary School, 31/03/2020 ,"280, 20 FEET ROAD BUDH VIHAR, MANDOLI,110093","0171,65092257",
2730332,SARASWATI VIDYALAYA FOR GIRLS,SHASHI BIDAWAT GARG,Senior Secondary, 31/03/2023 ,"SARASWATI BHAWAN 17 ANSARI ROAD DARYA GANJ, DISTT CENTRAL DELHI, NEW DELHI,110002","011,23269375",principal.saraswatividyalay@gmail.com
2778005,SARDAR AMAR SINGH SHER-I-PUNJAB,Ram Murit,Senior Secondary, 31/03/2025 ,"(PINDI GHEB) KHALSA SR SEC SCHOOL KAROL BAGH NEW DELHI,110005","011,23619923",1208135as@gmail.com
2754083,SARDAR BALABH BHAI PATEL,KHAN BAHADUR,Senior Secondary, 31/03/2021 ,"GOVT.SARVODAYA BOYS SR SEC SCHOOL TUGHLAKABAD EXTN. NEW DELHI,110019","011,29984543",SVBPSBV1925007@GMAIL.COM
2730176,SARDAR PATEL PUBLIC SR SEC SCHOOL,Mohd Zahid Khan,Senior Secondary, 31/03/2022 ,"KARAWAL NAGAR, DISTT EAST DELHI, DELHI,110094","011,22933077",sardarpatelschool@rediffmail.comWebsite:http://www.auroville.org.in
2730771,"SARDAR PATEL VIDYA NIKETAN,",MRS.  SANGEETA SHARMA,Senior Secondary, 31/03/2022 ,"KHASRA NO.208, MANDI VILLAGE, MANDI, NEW DELHI-110047,110047","011,011-65022784,",rajivspv@gmail.comWebsite:http://www.spvndelhi.com
2730024,SARDAR PATEL VIDYALAYA,Anuradha Joshi,Senior Secondary, 31/03/2019 ,"ROAD NO 3 LODI ESTATE NEW DELHI,110003","011,24627344",principalspv@gmail.comWebsite:http://www.spvdelhi.org
2756176,SARDAR VALLABHBHAI PATEL,VEENA BHARDWAJ,Senior Secondary, 31/03/2021 ,"CANTONMENT BOARD SR. SEC. SCHOOL, SADAR BAZAR DELHI CANTT-110010,110010","011,25694992",BHARDWAJASHWINI9@GMAIL.COM
2762031,SAROJINI NAIDU GOVT.SARVODAYA GIRLS,SMT.CHITRA LAL,Senior Secondary, 31/03/2023 ,"S.S.S.GOKAL PURI DELHI,110094",",22171019",
2756028,SARVDAYA BAL VIDYALAYA,PHOOL SINGH,Senior Secondary, 31/03/2025 ,"UTTAM NAGAR NEW  DELHI,110059","011,25352512",1618008sbvun@gmail.com
2750040,sarvodaya bal vidyalaya,RAMESH CHANDER GOEL,Secondary School, 31/03/2020 ,"tulsi nagar delhi,110035","011,23125194",gbsstulsinagar@gmail.com
2750033,SARVODAYA BAL VIDYALAYA,SH V.D.CHUGH,Senior Secondary, 31/03/2021 ,"ANANDVAS (LOK VIHAR) DELHI,110034",",27354488",
2750011,sarvodaya bal vidyalaya,SUSHIL KUMAR,Senior Secondary, 31/03/2018 ,"narela delhi,110040","011,27785442",sushilkumar.chauhan@yahoo.in
2750096,Sarvodaya Bal Vidyalaya,NAVEEN YADAV,Senior Secondary, 31/03/2022 ,"BT- Block, Shalimar Bagh, Delhi- 110 088,110088","011,27479597",svbt1309005@gmail.com
2750092,SARVODAYA BAL VIDYALAYA,HARI RAM SHARMA,Senior Secondary, 31/03/2022 ,"H BLOCK SULTAN PURI DELHI,110041","011,25483312",hrsharma1967@gmail.com
2750093,SARVODAYA BAL VIDYALAYA,HARI RAM SHARMA,Senior Secondary, 31/03/2020 ,"'R' BLOCK  MANGOL PURI DELHI,110083","011,27917066",hrsharma1967@gmail.com
2750066,sarvodaya bal vidyalaya,SHRUTI BODH AGARWAL,Senior Secondary, 31/03/2024 ,"a-block jahangir puri delhi,110033","011,27633217",sbvablk@gmail.com
2754040,sarvodaya bal vidyalaya,KULDEEP KUMAR,Senior Secondary, 31/03/2022 ,"fatehpur beri new delhi,110074","011,26654815",
2752147,sarvodaya bal vidyalaya,CHAND BABU,Senior Secondary, 31/03/2020 ,"buland masjid, shashtri park, delhi-110053,181202","011,22181999",bchand2k10@gmail.com
2752146,sarvodaya bal vidyalaya,BIR SINGH,Senior Secondary, 31/03/2020 ,"j. j. colony, khichripur village, delhi-110091,110092","011,22772054",sbvjjckhp@yahoo.com
2754130,sarvodaya bal vidyalaya,KAMLESH KUMAR MEENA,Secondary School, 31/03/2022 ,"j-block, sangam vihar,new delhi-110080,110080","011,26043056",gbssjblocksangamvihar@yahoo.com
2752139,sarvodaya bal vidyalaya,JAGDISH,Secondary School, 31/03/2017 ,"anand vihar, delhi-10092,110092","011,22144732",SBVANANDVIHAR@GMAIL.COM
2750168,sarvodaya bal vidyalaya,SUBHASH CHANDER,Senior Secondary, 31/03/2018 ,"sawada,(ghevra) colony b block, delhi,110081","011,9968680426",subhash71chander@gmail.com
2756041,SARVODAYA BAL VIDYALAYA,MUSHTAQUE ALI,Senior Secondary, 31/03/2023 ,"CHAND NAGAR NEW DELHI,110018","011,25984396",sbv1514110@gmail.com
2754007,sarvodaya bal vidyalaya,mr.  dr mohd zahid ali,Senior Secondary, 31/03/2018 ,"molarband p.o. badarpur new delhi,110044","011,26666426",gbsss1_md@rediffmail.com
